Rodada,Mandante,Placar,Visitante
25,Juventude, x ,Internacional
26,Flamengo, x ,Cruzeiro
26,Botafogo, x ,Bahia
26,Palmeiras, x ,Vasco
26,Santos, x ,Grêmio
26,Mirassol, x ,Bragantino
26,Atlético-MG, x ,Juventude
26,Internacional, x ,Corinthians
26,Vitória, x ,Ceará
26,Fortaleza, x ,São Paulo
26,Sport, x ,Fluminense
27,Fluminense, x ,Atlético-MG
27,Vasco, x ,Vitória
27,Corinthians, x ,Mirassol
27,São Paulo, x ,Palmeiras
27,Bragantino, x ,Grêmio
27,Cruzeiro, x ,Sport
27,Internacional, x ,Botafogo
27,Bahia, x ,Flamengo
27,Ceará, x ,Santos
27,Juventude, x ,Fortaleza
28,Fluminense, x ,Juventude
28,Botafogo, x ,Flamengo
28,Palmeiras, x ,Bragantino
28,Santos, x ,Corinthians
28,Mirassol, x ,Internacional
28,Atlético-MG, x ,Cruzeiro
28,Grêmio, x ,São Paulo
28,Vitória, x ,Bahia
28,Fortaleza, x ,Vasco
28,Sport, x ,Ceará
29,Flamengo, x ,Palmeiras
29,Vasco, x ,Fluminense
29,Corinthians, x ,Atlético-MG
29,Santos, x ,Vitória
29,Mirassol, x ,São Paulo
29,Cruzeiro, x ,Fortaleza
29,Internacional, x ,Sport
29,Bahia, x ,Grêmio
29,Ceará, x ,Botafogo
29,Juventude, x ,Bragantino
30,Fluminense, x ,Internacional
30,Botafogo, x ,Santos
30,Palmeiras, x ,Cruzeiro
30,São Paulo, x ,Bahia
30,Bragantino, x ,Vasco
30,Atlético-MG, x ,Ceará
30,Grêmio, x ,Juventude
30,Vitória, x ,Corinthians
30,Fortaleza, x ,Flamengo
30,Sport, x ,Mirassol
31,Flamengo, x ,Sport
31,Vasco, x ,São Paulo
31,Corinthians, x ,Grêmio
31,Santos, x ,Fortaleza
31,Mirassol, x ,Botafogo
31,Cruzeiro, x ,Vitória
31,Internacional, x ,Atlético-MG
31,Bahia, x ,Bragantino
31,Ceará, x ,Fluminense
31,Juventude, x ,Palmeiras
32,Fluminense, x ,Mirassol
32,Botafogo, x ,Vasco
32,Palmeiras, x ,Santos
32,São Paulo, x ,Flamengo
32,Bragantino, x ,Corinthians
32,Atlético-MG, x ,Bahia
32,Grêmio, x ,Cruzeiro
32,Vitória, x ,Internacional
32,Ceará, x ,Fortaleza
32,Sport, x ,Juventude
33,Flamengo, x ,Santos
33,Vasco, x ,Juventude
33,Corinthians, x ,Ceará
33,São Paulo, x ,Bragantino
33,Mirassol, x ,Palmeiras
33,Cruzeiro, x ,Fluminense
33,Internacional, x ,Bahia
33,Vitória, x ,Botafogo
33,Fortaleza, x ,Grêmio
33,Sport, x ,Atlético-MG
34,Fluminense, x ,Flamengo
34,Botafogo, x ,Sport
34,Corinthians, x ,São Paulo
34,Santos, x ,Mirassol
34,Bragantino, x ,Vitória
34,Atlético-MG, x ,Palmeiras
34,Grêmio, x ,Vasco
34,Bahia, x ,Fortaleza
34,Ceará, x ,Internacional
34,Juventude, x ,Cruzeiro
35,Flamengo, x ,Bragantino
35,Botafogo, x ,Grêmio
35,Palmeiras, x ,Fluminense
35,São Paulo, x ,Juventude
35,Mirassol, x ,Ceará
35,Cruzeiro, x ,Corinthians
35,Internacional, x ,Santos
35,Bahia, x ,Vasco
35,Fortaleza, x ,Atlético-MG
35,Sport, x ,Vitória
36,Fluminense, x ,São Paulo
36,Vasco, x ,Internacional
36,Corinthians, x ,Botafogo
36,Santos, x ,Sport
36,Bragantino, x ,Fortaleza
36,Atlético-MG, x ,Flamengo
36,Grêmio, x ,Palmeiras
36,Vitória, x ,Mirassol
36,Ceará, x ,Cruzeiro
36,Juventude, x ,Bahia
37,Flamengo, x ,Ceará
37,Vasco, x ,Mirassol
37,Palmeiras, x ,Vitória
37,São Paulo, x ,Internacional
37,Bragantino, x ,Atlético-MG
37,Cruzeiro, x ,Botafogo
37,Grêmio, x ,Fluminense
37,Bahia, x ,Sport
37,Fortaleza, x ,Corinthians
37,Juventude, x ,Santos
38,Fluminense, x ,Bahia
38,Botafogo, x ,Fortaleza
38,Corinthians, x ,Juventude
38,Santos, x ,Cruzeiro
38,Mirassol, x ,Flamengo
38,Atlético-MG, x ,Vasco
38,Internacional, x ,Bragantino
38,Vitória, x ,São Paulo
38,Ceará, x ,Palmeiras
38,Sport, x ,Grêmio
10,Fluminense,2 x 1,Vasco
10,São Paulo,0 x 2,Mirassol
10,Atlético-MG, x ,Corinthians
10,Grêmio, x ,Bahia
10,Palmeiras, x ,Flamengo
10,Sport, x ,Internacional
10,Vitória, x ,Santos
10,Fortaleza, x ,Cruzeiro
10,Bragantino, x ,Juventude
10,Botafogo, x ,Ceará
