Mandante,Placar,Visitante,Rodada,Coringa,Jogador
Corinthians,2 x 0,Fluminense,4,NÃO,SHESLEY
Flamengo,3 x 0,Juventude,4,NÃO,SHESLEY
Mirassol,1 x 0,Grêmio,4,NÃO,SHESLEY
Cruzeiro,2 x 1,Bahia,4,NÃO,SHESLEY
Sport,1 x 0,Bragantino,4,NÃO,SHESLEY
Vitória,2 x 1,Fortaleza,4,NÃO,SHESLEY
Ceará,2 x 1,Vasco,4,NÃO,SHESLEY
Internacional,2 x 1,Palmeiras,4,SIM,SHESLEY
Vasco,0 x 2,Flamengo,5,SIM,SHESLEY
Fluminense,1 x 0,Vitória,5,NÃO,SHESLEY
Corinthians,2 x 0,Sport,5,NÃO,SHESLEY
São Paulo,2 x 1,Santos,5,NÃO,SHESLEY
Bragantino,1 x 1,Cruzeiro,5,NÃO,SHESLEY
Atlético-MG,2 x 1,Botafogo,5,NÃO,SHESLEY
Juventude,2 x 0,Mirassol,5,NÃO,SHESLEY
Bahia,2 x 0,Ceará,5,NÃO,SHESLEY
Fortaleza,1 x 2,Palmeiras,5,NÃO,SHESLEY
Grêmio,0 x 1,Internacional,5,SIM,SHESLEY
Flamengo,2 x 1,Corinthians,6,SIM,SHESLEY
Sport,1 x 1,Fortaleza,6,NÃO,SHESLEY
Palmeiras,3 x 1,Bahia,6,NÃO,SHESLEY
Santos,2 x 1,Bragantino,6,NÃO,SHESLEY
Mirassol,0 x 3,Atlético-MG,6,NÃO,SHESLEY
Cruzeiro,1 x 0,Vasco,6,NÃO,SHESLEY
Internacional,2 x 0,Juventude,6,NÃO,SHESLEY
Vitória,0 x 0,Grêmio,6,NÃO,SHESLEY
Ceará,1 x 1,São Paulo,6,NÃO,SHESLEY
Botafogo,1 x 1,Fluminense,6,SIM,SHESLEY
Vasco,2 x 1,Palmeiras,7,SIM,SHESLEY
Fluminense,2 x 0,Sport,7,NÃO,SHESLEY
Corinthians,2 x 1,Internacional,7,NÃO,SHESLEY
São Paulo,2 x 0,Fortaleza,7,NÃO,SHESLEY
Bragantino,1 x 1,Mirassol,7,NÃO,SHESLEY
Juventude,0 x 1,Atlético-MG,7,NÃO,SHESLEY
Grêmio,2 x 1,Santos,7,NÃO,SHESLEY
Bahia,1 x 0,Botafogo,7,NÃO,SHESLEY
Ceará,2 x 1,Vitória,7,NÃO,SHESLEY
Cruzeiro,0 x 2,Flamengo,7,SIM,SHESLEY
Botafogo,1 x 1,Internacional,8,SIM,SHESLEY
Sport,1 x 0,Cruzeiro,8,NÃO,SHESLEY
Flamengo,2 x 0,Bahia,8,NÃO,SHESLEY
Santos,2 x 0,Ceará,8,NÃO,SHESLEY
Mirassol,1 x 2,Corinthians,8,NÃO,SHESLEY
Atlético-MG,2 x 1,Fluminense,8,NÃO,SHESLEY
Grêmio,1 x 0,Bragantino,8,NÃO,SHESLEY
Vitória,1 x 1,Vasco,8,NÃO,SHESLEY
Fortaleza,3 x 1,Juventude,8,NÃO,SHESLEY
Palmeiras,1 x 0,São Paulo,8,SIM,SHESLEY
Flamengo,2 x 1,Internacional,1,SIM,LUCAS
Vasco,1 x 1,Santos,1,NÃO,LUCAS
Juventude,2 x 0,Vitória,1,NÃO,LUCAS
São Paulo,2 x 0,Sport,1,NÃO,LUCAS
Bragantino,2 x 0,Ceará,1,NÃO,LUCAS
Cruzeiro,1 x 0,Mirassol,1,NÃO,LUCAS
Grêmio,1 x 2,Atlético-MG,1,NÃO,LUCAS
Bahia,1 x 0,Corinthians,1,NÃO,LUCAS
Fortaleza,2 x 0,Fluminense,1,NÃO,LUCAS
Palmeiras,1 x 1,Botafogo,1,SIM,LUCAS
Atlético-MG,1 x 0,São Paulo,2,SIM,LUCAS
Botafogo,2 x 0,Juventude,2,NÃO,LUCAS
Corinthians,2 x 0,Vasco,2,NÃO,LUCAS
Santos,3 x 1,Bahia,2,NÃO,LUCAS
Mirassol,1 x 1,Fortaleza,2,NÃO,LUCAS
Sport,2 x 2,Palmeiras,2,NÃO,LUCAS
Fluminense,1 x 0,Bragantino,2,NÃO,LUCAS
Vitória,1 x 3,Flamengo,2,NÃO,LUCAS
Ceará,1 x 0,Grêmio,2,NÃO,LUCAS
Internacional,2 x 1,Cruzeiro,2,SIM,LUCAS
Palmeiras,1 x 1,Corinthians,3,SIM,LUCAS
Vasco,2 x 0,Sport,3,NÃO,LUCAS
Fluminense,2 x 2,Santos,3,NÃO,LUCAS
São Paulo,2 x 1,Cruzeiro,3,NÃO,LUCAS
Bragantino,0 x 0,Botafogo,3,NÃO,LUCAS
Atlético-MG,2 x 0,Vitória,3,NÃO,LUCAS
Juventude,2 x 0,Ceará,3,NÃO,LUCAS
Bahia,2 x 0,Mirassol,3,NÃO,LUCAS
Fortaleza,1 x 2,Internacional,3,NÃO,LUCAS
Grêmio,1 x 3,Flamengo,3,SIM,LUCAS
Santos,2 x 1,Atlético-MG,4,SIM,LUCAS
Botafogo,2 x 2,São Paulo,4,NÃO,LUCAS
Corinthians,3 x 0,Fluminense,4,NÃO,LUCAS
Flamengo,4 x 0,Juventude,4,NÃO,LUCAS
Mirassol,2 x 1,Grêmio,4,NÃO,LUCAS
Cruzeiro,2 x 0,Bahia,4,NÃO,LUCAS
Sport,1 x 0,Bragantino,4,NÃO,LUCAS
Vitória,2 x 1,Fortaleza,4,NÃO,LUCAS
Ceará,1 x 0,Vasco,4,NÃO,LUCAS
Internacional,0 x 1,Palmeiras,4,SIM,LUCAS
Vasco,0 x 3,Flamengo,5,SIM,LUCAS
Fluminense,2 x 0,Vitória,5,NÃO,LUCAS
Corinthians,2 x 0,Sport,5,NÃO,LUCAS
São Paulo,1 x 1,Santos,5,NÃO,LUCAS
Bragantino,2 x 1,Cruzeiro,5,NÃO,LUCAS
Atlético-MG,2 x 1,Botafogo,5,NÃO,LUCAS
Juventude,0 x 1,Mirassol,5,NÃO,LUCAS
Bahia,2 x 0,Ceará,5,NÃO,LUCAS
Fortaleza,2 x 1,Palmeiras,5,NÃO,LUCAS
Grêmio,2 x 1,Internacional,5,SIM,LUCAS
Flamengo,2 x 0,Corinthians,6,SIM,LUCAS
Sport,1 x 0,Fortaleza,6,NÃO,LUCAS
Palmeiras,3 x 0,Bahia,6,NÃO,LUCAS
Santos,2 x 0,Bragantino,6,NÃO,LUCAS
Mirassol,1 x 1,Atlético-MG,6,NÃO,LUCAS
Cruzeiro,0 x 1,Vasco,6,NÃO,LUCAS
Internacional,2 x 1,Juventude,6,NÃO,LUCAS
Vitória,2 x 1,Grêmio,6,NÃO,LUCAS
Ceará,1 x 0,São Paulo,6,NÃO,LUCAS
Botafogo,2 x 1,Fluminense,6,SIM,LUCAS
Vasco,1 x 2,Palmeiras,7,SIM,LUCAS
Fluminense,2 x 0,Sport,7,NÃO,LUCAS
Corinthians,2 x 2,Internacional,7,NÃO,LUCAS
São Paulo,0 x 1,Fortaleza,7,NÃO,LUCAS
Bragantino,1 x 1,Mirassol,7,NÃO,LUCAS
Juventude,2 x 0,Atlético-MG,7,NÃO,LUCAS
Grêmio,2 x 0,Santos,7,NÃO,LUCAS
Bahia,1 x 0,Botafogo,7,NÃO,LUCAS
Ceará,2 x 0,Vitória,7,NÃO,LUCAS
Cruzeiro,1 x 2,Flamengo,7,SIM,LUCAS
Botafogo,1 x 2,Internacional,8,SIM,LUCAS
Sport,1 x 1,Cruzeiro,8,NÃO,LUCAS
Flamengo,2 x 1,Bahia,8,NÃO,LUCAS
Santos,3 x 1,Ceará,8,NÃO,LUCAS
Mirassol,1 x 0,Corinthians,8,NÃO,LUCAS
Atlético-MG,2 x 0,Fluminense,8,NÃO,LUCAS
Grêmio,1 x 1,Bragantino,8,NÃO,LUCAS
Vitória,2 x 1,Vasco,8,NÃO,LUCAS
Fortaleza,1 x 2,Juventude,8,NÃO,LUCAS
Palmeiras,0 x 1,São Paulo,8,SIM,LUCAS
Flamengo,3 x 1,Internacional,1,SIM,BIEL
Vasco,1 x 2,Santos,1,NÃO,BIEL
Juventude,2 x 1,Vitória,1,NÃO,BIEL
São Paulo,2 x 0,Sport,1,NÃO,BIEL
Bragantino,2 x 0,Ceará,1,NÃO,BIEL
Cruzeiro,2 x 0,Mirassol,1,NÃO,BIEL
Grêmio,1 x 1,Atlético-MG,1,NÃO,BIEL
Bahia,2 x 1,Corinthians,1,NÃO,BIEL
Fortaleza,3 x 1,Fluminense,1,NÃO,BIEL
Palmeiras,2 x 0,Botafogo,1,SIM,BIEL
Atlético-MG,2 x 1,São Paulo,2,SIM,BIEL
Botafogo,2 x 1,Juventude,2,NÃO,BIEL
Corinthians,3 x 1,Vasco,2,NÃO,BIEL
Santos,2 x 1,Bahia,2,NÃO,BIEL
Mirassol,1 x 2,Fortaleza,2,NÃO,BIEL
Sport,0 x 1,Palmeiras,2,NÃO,BIEL
Fluminense,1 x 1,Bragantino,2,NÃO,BIEL
Vitória,1 x 2,Flamengo,2,NÃO,BIEL
Ceará,1 x 1,Grêmio,2,NÃO,BIEL
Internacional,2 x 0,Cruzeiro,2,SIM,BIEL
Palmeiras,1 x 1,Corinthians,3,SIM,BIEL
Vasco,2 x 1,Sport,3,NÃO,BIEL
Fluminense,1 x 1,Santos,3,NÃO,BIEL
São Paulo,2 x 0,Cruzeiro,3,NÃO,BIEL
Bragantino,2 x 1,Botafogo,3,NÃO,BIEL
Atlético-MG,3 x 1,Vitória,3,NÃO,BIEL
Juventude,2 x 0,Ceará,3,NÃO,BIEL
Bahia,3 x 1,Mirassol,3,NÃO,BIEL
Fortaleza,1 x 1,Internacional,3,NÃO,BIEL
Grêmio,0 x 2,Flamengo,3,SIM,BIEL
Santos,2 x 1,Atlético-MG,4,SIM,BIEL
Botafogo,1 x 1,São Paulo,4,NÃO,BIEL
Corinthians,3 x 1,Fluminense,4,NÃO,BIEL
Flamengo,4 x 1,Juventude,4,NÃO,BIEL
Mirassol,2 x 1,Grêmio,4,NÃO,BIEL
Cruzeiro,2 x 1,Bahia,4,NÃO,BIEL
Sport,1 x 0,Bragantino,4,NÃO,BIEL
Vitória,1 x 0,Fortaleza,4,NÃO,BIEL
Ceará,2 x 1,Vasco,4,NÃO,BIEL
Internacional,2 x 2,Palmeiras,4,SIM,BIEL
Vasco,1 x 4,Flamengo,5,SIM,BIEL
Fluminense,2 x 1,Vitória,5,NÃO,BIEL
Corinthians,2 x 0,Sport,5,NÃO,BIEL
São Paulo,2 x 2,Santos,5,NÃO,BIEL
Bragantino,2 x 1,Cruzeiro,5,NÃO,BIEL
Atlético-MG,3 x 1,Botafogo,5,NÃO,BIEL
Juventude,2 x 0,Mirassol,5,NÃO,BIEL
Bahia,2 x 0,Ceará,5,NÃO,BIEL
Fortaleza,2 x 1,Palmeiras,5,NÃO,BIEL
Grêmio,1 x 1,Internacional,5,SIM,BIEL
Flamengo,3 x 1,Corinthians,6,SIM,BIEL
Sport,2 x 1,Fortaleza,6,NÃO,BIEL
Palmeiras,2 x 0,Bahia,6,NÃO,BIEL
Santos,2 x 0,Bragantino,6,NÃO,BIEL
Mirassol,1 x 2,Atlético-MG,6,NÃO,BIEL
Cruzeiro,2 x 0,Vasco,6,NÃO,BIEL
Internacional,3 x 1,Juventude,6,NÃO,BIEL
Vitória,2 x 1,Grêmio,6,NÃO,BIEL
Ceará,2 x 0,São Paulo,6,NÃO,BIEL
Botafogo,1 x 1,Fluminense,6,SIM,BIEL
Vasco,1 x 2,Palmeiras,7,SIM,BIEL
Fluminense,2 x 1,Sport,7,NÃO,BIEL
Corinthians,2 x 1,Internacional,7,NÃO,BIEL
São Paulo,2 x 1,Fortaleza,7,NÃO,BIEL
Bragantino,2 x 0,Mirassol,7,NÃO,BIEL
Juventude,2 x 1,Atlético-MG,7,NÃO,BIEL
Grêmio,1 x 0,Santos,7,NÃO,BIEL
Bahia,2 x 0,Botafogo,7,NÃO,BIEL
Ceará,2 x 0,Vitória,7,NÃO,BIEL
Cruzeiro,0 x 2,Flamengo,7,SIM,BIEL
Botafogo,1 x 1,Internacional,8,SIM,BIEL
Sport,2 x 1,Cruzeiro,8,NÃO,BIEL
Flamengo,2 x 0,Bahia,8,NÃO,BIEL
Santos,2 x 0,Ceará,8,NÃO,BIEL
Mirassol,1 x 0,Corinthians,8,NÃO,BIEL
Atlético-MG,3 x 1,Fluminense,8,NÃO,BIEL
Grêmio,2 x 1,Bragantino,8,NÃO,BIEL
Vitória,2 x 0,Vasco,8,NÃO,BIEL
Fortaleza,2 x 1,Juventude,8,NÃO,BIEL
Palmeiras,1 x 1,São Paulo,8,SIM,BIEL
Flamengo,3 x 1,Internacional,1,SIM,OLEGÁRIO
Vasco,1 x 0,Santos,1,NÃO,OLEGÁRIO
Juventude,0 x 0,Vitória,1,NÃO,OLEGÁRIO
São Paulo,1 x 0,Sport,1,NÃO,OLEGÁRIO
Bragantino,1 x 1,Ceará,1,NÃO,OLEGÁRIO
Cruzeiro,2 x 0,Mirassol,1,NÃO,OLEGÁRIO
Grêmio,1 x 2,Atlético-MG,1,NÃO,OLEGÁRIO
Bahia,2 x 2,Corinthians,1,NÃO,OLEGÁRIO
Fortaleza,1 x 1,Fluminense,1,NÃO,OLEGÁRIO
Palmeiras,0 x 1,Botafogo,1,SIM,OLEGÁRIO
Atlético-MG,1 x 1,São Paulo,2,SIM,OLEGÁRIO
Botafogo,3 x 1,Juventude,2,NÃO,OLEGÁRIO
Corinthians,1 x 1,Vasco,2,NÃO,OLEGÁRIO
Santos,2 x 2,Bahia,2,NÃO,OLEGÁRIO
Mirassol,0 x 0,Fortaleza,2,NÃO,OLEGÁRIO
Sport,0 x 2,Palmeiras,2,NÃO,OLEGÁRIO
Fluminense,1 x 0,Bragantino,2,NÃO,OLEGÁRIO
Vitória,0 x 2,Flamengo,2,NÃO,OLEGÁRIO
Ceará,2 x 2,Grêmio,2,NÃO,OLEGÁRIO
Internacional,0 x 0,Cruzeiro,2,SIM,OLEGÁRIO
Palmeiras,1 x 2,Corinthians,3,SIM,OLEGÁRIO
Vasco,2 x 0,Sport,3,NÃO,OLEGÁRIO
Fluminense,1 x 1,Santos,3,NÃO,OLEGÁRIO
São Paulo,0 x 0,Cruzeiro,3,NÃO,OLEGÁRIO
Bragantino,0 x 1,Botafogo,3,NÃO,OLEGÁRIO
Atlético-MG,3 x 0,Vitória,3,NÃO,OLEGÁRIO
Juventude,1 x 1,Ceará,3,NÃO,OLEGÁRIO
Bahia,2 x 0,Mirassol,3,NÃO,OLEGÁRIO
Fortaleza,2 x 2,Internacional,3,NÃO,OLEGÁRIO
Grêmio,1 x 3,Flamengo,3,SIM,OLEGÁRIO
Santos,1 x 2,Atlético-MG,4,SIM,OLEGÁRIO
Botafogo,0 x 0,São Paulo,4,NÃO,OLEGÁRIO
Corinthians,2 x 2,Fluminense,4,NÃO,OLEGÁRIO
Flamengo,3 x 0,Juventude,4,NÃO,OLEGÁRIO
Mirassol,0 x 1,Grêmio,4,NÃO,OLEGÁRIO
Cruzeiro,2 x 1,Bahia,4,NÃO,OLEGÁRIO
Sport,1 x 1,Bragantino,4,NÃO,OLEGÁRIO
Vitória,1 x 0,Fortaleza,4,NÃO,OLEGÁRIO
Ceará,0 x 1,Vasco,4,NÃO,OLEGÁRIO
Internacional,1 x 1,Palmeiras,4,SIM,OLEGÁRIO
Vasco,0 x 2,Flamengo,5,SIM,OLEGÁRIO
Fluminense,2 x 0,Vitória,5,NÃO,OLEGÁRIO
Corinthians,3 x 1,Sport,5,NÃO,OLEGÁRIO
São Paulo,2 x 2,Santos,5,NÃO,OLEGÁRIO
Bragantino,1 x 2,Cruzeiro,5,NÃO,OLEGÁRIO
Atlético-MG,2 x 2,Botafogo,5,NÃO,OLEGÁRIO
Juventude,0 x 0,Mirassol,5,NÃO,OLEGÁRIO
Bahia,2 x 1,Ceará,5,NÃO,OLEGÁRIO
Fortaleza,1 x 3,Palmeiras,5,NÃO,OLEGÁRIO
Grêmio,2 x 2,Internacional,5,SIM,OLEGÁRIO
Flamengo,1 x 0,Corinthians,6,SIM,OLEGÁRIO
Sport,0 x 0,Fortaleza,6,NÃO,OLEGÁRIO
Palmeiras,0 x 1,Bahia,6,NÃO,OLEGÁRIO
Santos,2 x 0,Bragantino,6,NÃO,OLEGÁRIO
Mirassol,0 x 2,Atlético-MG,6,NÃO,OLEGÁRIO
Cruzeiro,1 x 0,Vasco,6,NÃO,OLEGÁRIO
Internacional,2 x 1,Juventude,6,NÃO,OLEGÁRIO
Vitória,1 x 2,Grêmio,6,NÃO,OLEGÁRIO
Ceará,0 x 3,São Paulo,6,NÃO,OLEGÁRIO
Botafogo,1 x 1,Fluminense,6,SIM,OLEGÁRIO
Vasco,0 x 0,Palmeiras,7,SIM,OLEGÁRIO
Fluminense,3 x 1,Sport,7,NÃO,OLEGÁRIO
Corinthians,2 x 2,Internacional,7,NÃO,OLEGÁRIO
São Paulo,1 x 1,Fortaleza,7,NÃO,OLEGÁRIO
Bragantino,2 x 0,Mirassol,7,NÃO,OLEGÁRIO
Juventude,2 x 3,Atlético-MG,7,NÃO,OLEGÁRIO
Grêmio,1 x 1,Santos,7,NÃO,OLEGÁRIO
Bahia,2 x 2,Botafogo,7,NÃO,OLEGÁRIO
Ceará,1 x 1,Vitória,7,NÃO,OLEGÁRIO
Cruzeiro,0 x 0,Flamengo,7,SIM,OLEGÁRIO
Botafogo,2 x 1,Internacional,8,SIM,OLEGÁRIO
Sport,1 x 2,Cruzeiro,8,NÃO,OLEGÁRIO
Flamengo,2 x 1,Bahia,8,NÃO,OLEGÁRIO
Santos,1 x 0,Ceará,8,NÃO,OLEGÁRIO
Mirassol,1 x 2,Corinthians,8,NÃO,OLEGÁRIO
Atlético-MG,1 x 1,Fluminense,8,NÃO,OLEGÁRIO
Grêmio,1 x 0,Bragantino,8,NÃO,OLEGÁRIO
Vitória,1 x 3,Vasco,8,NÃO,OLEGÁRIO
Fortaleza,2 x 0,Juventude,8,NÃO,OLEGÁRIO
Palmeiras,2 x 1,São Paulo,8,SIM,OLEGÁRIO
Flamengo,1 x 0,Internacional,1,SIM,ULISSES
Vasco,1 x 0,Santos,1,NÃO,ULISSES
Juventude,2 x 1,Vitória,1,NÃO,ULISSES
São Paulo,2 x 0,Sport,1,NÃO,ULISSES
Bragantino,1 x 0,Ceará,1,NÃO,ULISSES
Cruzeiro,3 x 0,Mirassol,1,NÃO,ULISSES
Grêmio,1 x 2,Atlético-MG,1,NÃO,ULISSES
Bahia,1 x 1,Corinthians,1,NÃO,ULISSES
Fortaleza,1 x 2,Fluminense,1,NÃO,ULISSES
Palmeiras,1 x 0,Botafogo,1,SIM,ULISSES
Atlético-MG,2 x 1,São Paulo,2,SIM,ULISSES
Botafogo,2 x 0,Juventude,2,NÃO,ULISSES
Corinthians,2 x 1,Vasco,2,NÃO,ULISSES
Santos,2 x 0,Bahia,2,NÃO,ULISSES
Mirassol,0 x 1,Fortaleza,2,NÃO,ULISSES
Sport,0 x 2,Palmeiras,2,NÃO,ULISSES
Fluminense,2 x 0,Bragantino,2,NÃO,ULISSES
Vitória,1 x 2,Flamengo,2,NÃO,ULISSES
Ceará,0 x 2,Grêmio,2,NÃO,ULISSES
Internacional,2 x 1,Cruzeiro,2,SIM,ULISSES
Palmeiras,1 x 0,Corinthians,3,SIM,ULISSES
Vasco,2 x 1,Sport,3,NÃO,ULISSES
Fluminense,1 x 0,Santos,3,NÃO,ULISSES
São Paulo,1 x 0,Cruzeiro,3,NÃO,ULISSES
Bragantino,1 x 2,Botafogo,3,NÃO,ULISSES
Atlético-MG,3 x 1,Vitória,3,NÃO,ULISSES
Juventude,1 x 1,Ceará,3,NÃO,ULISSES
Bahia,3 x 1,Mirassol,3,NÃO,ULISSES
Fortaleza,1 x 2,Internacional,3,NÃO,ULISSES
Grêmio,0 x 1,Flamengo,3,SIM,ULISSES
Santos,1 x 2,Atlético-MG,4,SIM,ULISSES
Botafogo,2 x 1,São Paulo,4,NÃO,ULISSES
Corinthians,1 x 0,Fluminense,4,NÃO,ULISSES
Flamengo,2 x 0,Juventude,4,NÃO,ULISSES
Mirassol,0 x 1,Grêmio,4,NÃO,ULISSES
Cruzeiro,2 x 1,Bahia,4,NÃO,ULISSES
Sport,2 x 0,Bragantino,4,NÃO,ULISSES
Vitória,1 x 0,Fortaleza,4,NÃO,ULISSES
Ceará,1 x 1,Vasco,4,NÃO,ULISSES
Internacional,1 x 1,Palmeiras,4,SIM,ULISSES
Vasco,1 x 2,Flamengo,5,SIM,ULISSES
Fluminense,2 x 0,Vitória,5,NÃO,ULISSES
Corinthians,2 x 1,Sport,5,NÃO,ULISSES
São Paulo,1 x 0,Santos,5,NÃO,ULISSES
Bragantino,1 x 2,Cruzeiro,5,NÃO,ULISSES
Atlético-MG,2 x 0,Botafogo,5,NÃO,ULISSES
Juventude,2 x 0,Mirassol,5,NÃO,ULISSES
Bahia,2 x 1,Ceará,5,NÃO,ULISSES
Fortaleza,0 x 1,Palmeiras,5,NÃO,ULISSES
Grêmio,1 x 1,Internacional,5,SIM,ULISSES
Flamengo,1 x 0,Corinthians,6,SIM,ULISSES
Sport,1 x 0,Fortaleza,6,NÃO,ULISSES
Palmeiras,2 x 1,Bahia,6,NÃO,ULISSES
Santos,2 x 1,Bragantino,6,NÃO,ULISSES
Mirassol,0 x 2,Atlético-MG,6,NÃO,ULISSES
Cruzeiro,2 x 1,Vasco,6,NÃO,ULISSES
Internacional,2 x 0,Juventude,6,NÃO,ULISSES
Vitória,0 x 1,Grêmio,6,NÃO,ULISSES
Ceará,1 x 2,São Paulo,6,NÃO,ULISSES
Botafogo,1 x 1,Fluminense,6,SIM,ULISSES
Vasco,1 x 2,Palmeiras,7,SIM,ULISSES
Fluminense,2 x 0,Sport,7,NÃO,ULISSES
Corinthians,1 x 0,Internacional,7,NÃO,ULISSES
São Paulo,2 x 1,Fortaleza,7,NÃO,ULISSES
Bragantino,2 x 1,Mirassol,7,NÃO,ULISSES
Juventude,0 x 1,Atlético-MG,7,NÃO,ULISSES
Grêmio,2 x 1,Santos,7,NÃO,ULISSES
Bahia,1 x 1,Botafogo,7,NÃO,ULISSES
Ceará,1 x 1,Vitória,7,NÃO,ULISSES
Cruzeiro,1 x 1,Flamengo,7,SIM,ULISSES
Botafogo,1 x 1,Internacional,8,SIM,ULISSES
Sport,0 x 1,Cruzeiro,8,NÃO,ULISSES
Flamengo,2 x 1,Bahia,8,NÃO,ULISSES
Santos,2 x 0,Ceará,8,NÃO,ULISSES
Mirassol,1 x 2,Corinthians,8,NÃO,ULISSES
Atlético-MG,2 x 0,Fluminense,8,NÃO,ULISSES
Grêmio,2 x 1,Bragantino,8,NÃO,ULISSES
Vitória,0 x 1,Vasco,8,NÃO,ULISSES
Fortaleza,2 x 1,Juventude,8,NÃO,ULISSES
Palmeiras,2 x 2,São Paulo,8,SIM,ULISSES
Flamengo,2 x 1,Internacional,1,SIM,SALU
Vasco,1 x 2,Santos,1,NÃO,SALU
Juventude,1 x 0,Vitória,1,NÃO,SALU
São Paulo,2 x 0,Sport,1,NÃO,SALU
Bragantino,1 x 1,Ceará,1,NÃO,SALU
Cruzeiro,3 x 0,Mirassol,1,NÃO,SALU
Grêmio,0 x 0,Atlético-MG,1,NÃO,SALU
Bahia,1 x 2,Corinthians,1,NÃO,SALU
Fortaleza,2 x 1,Fluminense,1,NÃO,SALU
Palmeiras,2 x 1,Botafogo,1,SIM,SALU
Atlético-MG,1 x 0,São Paulo,2,SIM,SALU
Botafogo,2 x 0,Juventude,2,NÃO,SALU
Corinthians,2 x 0,Vasco,2,NÃO,SALU
Santos,2 x 1,Bahia,2,NÃO,SALU
Mirassol,0 x 1,Fortaleza,2,NÃO,SALU
Sport,1 x 3,Palmeiras,2,NÃO,SALU
Fluminense,1 x 0,Bragantino,2,NÃO,SALU
Vitória,0 x 2,Flamengo,2,NÃO,SALU
Ceará,1 x 0,Grêmio,2,NÃO,SALU
Internacional,2 x 1,Cruzeiro,2,SIM,SALU
Palmeiras,1 x 0,Corinthians,3,SIM,SALU
Vasco,2 x 0,Sport,3,NÃO,SALU
Fluminense,1 x 1,Santos,3,NÃO,SALU
São Paulo,2 x 1,Cruzeiro,3,NÃO,SALU
Bragantino,0 x 2,Botafogo,3,NÃO,SALU
Atlético-MG,3 x 0,Vitória,3,NÃO,SALU
Juventude,0 x 1,Ceará,3,NÃO,SALU
Bahia,2 x 0,Mirassol,3,NÃO,SALU
Fortaleza,1 x 2,Internacional,3,NÃO,SALU
Grêmio,1 x 2,Flamengo,3,SIM,SALU
Santos,2 x 1,Atlético-MG,4,SIM,SALU
Botafogo,1 x 0,São Paulo,4,NÃO,SALU
Corinthians,2 x 0,Fluminense,4,NÃO,SALU
Flamengo,3 x 0,Juventude,4,NÃO,SALU
Mirassol,1 x 2,Grêmio,4,NÃO,SALU
Cruzeiro,2 x 1,Bahia,4,NÃO,SALU
Sport,1 x 0,Bragantino,4,NÃO,SALU
Vitória,1 x 2,Fortaleza,4,NÃO,SALU
Ceará,1 x 1,Vasco,4,NÃO,SALU
Internacional,2 x 1,Palmeiras,4,SIM,SALU
Vasco,1 x 3,Flamengo,5,SIM,SALU
Fluminense,2 x 0,Vitória,5,NÃO,SALU
Corinthians,3 x 0,Sport,5,NÃO,SALU
São Paulo,2 x 1,Santos,5,NÃO,SALU
Bragantino,0 x 2,Cruzeiro,5,NÃO,SALU
Atlético-MG,2 x 0,Botafogo,5,NÃO,SALU
Juventude,1 x 0,Mirassol,5,NÃO,SALU
Bahia,2 x 1,Ceará,5,NÃO,SALU
Fortaleza,1 x 2,Palmeiras,5,NÃO,SALU
Grêmio,1 x 1,Internacional,5,SIM,SALU
Flamengo,2 x 0,Corinthians,6,SIM,SALU
Sport,1 x 2,Fortaleza,6,NÃO,SALU
Palmeiras,2 x 0,Bahia,6,NÃO,SALU
Santos,3 x 0,Bragantino,6,NÃO,SALU
Mirassol,1 x 2,Atlético-MG,6,NÃO,SALU
Cruzeiro,2 x 0,Vasco,6,NÃO,SALU
Internacional,2 x 0,Juventude,6,NÃO,SALU
Vitória,0 x 1,Grêmio,6,NÃO,SALU
Ceará,1 x 1,São Paulo,6,NÃO,SALU
Botafogo,2 x 1,Fluminense,6,SIM,SALU
Vasco,1 x 2,Palmeiras,7,SIM,SALU
Fluminense,2 x 0,Sport,7,NÃO,SALU
Corinthians,2 x 1,Internacional,7,NÃO,SALU
São Paulo,3 x 0,Fortaleza,7,NÃO,SALU
Bragantino,2 x 0,Mirassol,7,NÃO,SALU
Juventude,0 x 2,Atlético-MG,7,NÃO,SALU
Grêmio,1 x 1,Santos,7,NÃO,SALU
Bahia,2 x 1,Botafogo,7,NÃO,SALU
Ceará,2 x 0,Vitória,7,NÃO,SALU
Cruzeiro,1 x 2,Flamengo,7,SIM,SALU
Botafogo,1 x 0,Internacional,8,SIM,SALU
Sport,0 x 2,Cruzeiro,8,NÃO,SALU
Flamengo,2 x 0,Bahia,8,NÃO,SALU
Santos,2 x 0,Ceará,8,NÃO,SALU
Mirassol,0 x 3,Corinthians,8,NÃO,SALU
Atlético-MG,1 x 0,Fluminense,8,NÃO,SALU
Grêmio,1 x 0,Bragantino,8,NÃO,SALU
Vitória,2 x 1,Vasco,8,NÃO,SALU
Fortaleza,2 x 0,Juventude,8,NÃO,SALU
Palmeiras,1 x 0,São Paulo,8,SIM,SALU
Flamengo,2 x 0,Internacional,1,SIM,JUNIOR
Vasco,1 x 0,Santos,1,NÃO,JUNIOR
Juventude,3 x 1,Vitória,1,NÃO,JUNIOR
São Paulo,2 x 0,Sport,1,NÃO,JUNIOR
Bragantino,1 x 1,Ceará,1,NÃO,JUNIOR
Cruzeiro,3 x 0,Mirassol,1,NÃO,JUNIOR
Grêmio,0 x 1,Atlético-MG,1,NÃO,JUNIOR
