Mandante,Placar,Visitante,Rodada,Coringa,Jogador
Juventude,2 x 0,Mirassol,5,NÃO,BOLINHA
Bahia,2 x 0,Ceará,5,NÃO,BOLINHA
Fortaleza,1 x 2,Palmeiras,5,NÃO,BOLINHA
Grêmio,1 x 2,Internacional,5,SIM,BOLINHA
Flamengo,3 x 1,Corinthians,6,SIM,BOLINHA
Sport,1 x 0,Fortaleza,6,NÃO,BOLINHA
Palmeiras,2 x 0,Bahia,6,NÃO,BOLINHA
Santos,1 x 0,Bragantino,6,NÃO,BOLINHA
Mirassol,0 x 2,Atlético-MG,6,NÃO,BOLINHA
Cruzeiro,1 x 0,Vasco,6,NÃO,BOLINHA
Internacional,2 x 0,Juventude,6,NÃO,BOLINHA
Vitória,1 x 0,Grêmio,6,NÃO,BOLINHA
Ceará,1 x 2,São Paulo,6,NÃO,BOLINHA
Botafogo,2 x 1,Fluminense,6,SIM,BOLINHA
Vasco,2 x 1,Palmeiras,7,SIM,BOLINHA
Fluminense,2 x 0,Sport,7,NÃO,BOLINHA
Corinthians,2 x 1,Internacional,7,NÃO,BOLINHA
São Paulo,2 x 0,Fortaleza,7,NÃO,BOLINHA
Bragantino,3 x 1,Mirassol,7,NÃO,BOLINHA
Juventude,1 x 2,Atlético-MG,7,NÃO,BOLINHA
Grêmio,1 x 0,Santos,7,NÃO,BOLINHA
Bahia,2 x 1,Botafogo,7,NÃO,BOLINHA
Ceará,2 x 1,Vitória,7,NÃO,BOLINHA
Cruzeiro,0 x 1,Flamengo,7,SIM,BOLINHA
Botafogo,1 x 0,Internacional,8,SIM,BOLINHA
Sport,2 x 1,Cruzeiro,8,NÃO,BOLINHA
Flamengo,2 x 0,Bahia,8,NÃO,BOLINHA
Santos,1 x 0,Ceará,8,NÃO,BOLINHA
Mirassol,0 x 2,Corinthians,8,NÃO,BOLINHA
Atlético-MG,2 x 1,Fluminense,8,NÃO,BOLINHA
Grêmio,2 x 1,Bragantino,8,NÃO,BOLINHA
Vitória,1 x 2,Vasco,8,NÃO,BOLINHA
Fortaleza,1 x 0,Juventude,8,NÃO,BOLINHA
Palmeiras,2 x 1,São Paulo,8,SIM,BOLINHA
Flamengo,1 x 0,Internacional,1,SIM,WILLIAN
Vasco,1 x 0,Santos,1,NÃO,WILLIAN
Juventude,1 x 0,Vitória,1,NÃO,WILLIAN
São Paulo,2 x 0,Sport,1,NÃO,WILLIAN
Bragantino,2 x 0,Ceará,1,NÃO,WILLIAN
Cruzeiro,2 x 0,Mirassol,1,NÃO,WILLIAN
Grêmio,2 x 0,Atlético-MG,1,NÃO,WILLIAN
Bahia,2 x 0,Corinthians,1,NÃO,WILLIAN
Fortaleza,0 x 1,Fluminense,1,NÃO,WILLIAN
Palmeiras,1 x 0,Botafogo,1,SIM,WILLIAN
Atlético-MG,2 x 0,São Paulo,2,SIM,WILLIAN
Botafogo,2 x 0,Juventude,2,NÃO,WILLIAN
Corinthians,2 x 0,Vasco,2,NÃO,WILLIAN
Santos,1 x 0,Bahia,2,NÃO,WILLIAN
Mirassol,1 x 0,Fortaleza,2,NÃO,WILLIAN
Sport,0 x 1,Palmeiras,2,NÃO,WILLIAN
Fluminense,1 x 0,Bragantino,2,NÃO,WILLIAN
Vitória,0 x 2,Flamengo,2,NÃO,WILLIAN
Ceará,1 x 0,Grêmio,2,NÃO,WILLIAN
Internacional,2 x 0,Cruzeiro,2,SIM,WILLIAN
Palmeiras,1 x 0,Corinthians,3,SIM,WILLIAN
Vasco,2 x 0,Sport,3,NÃO,WILLIAN
Fluminense,2 x 0,Santos,3,NÃO,WILLIAN
São Paulo,1 x 0,Cruzeiro,3,NÃO,WILLIAN
Bragantino,1 x 0,Botafogo,3,NÃO,WILLIAN
Atlético-MG,2 x 0,Vitória,3,NÃO,WILLIAN
Juventude,1 x 0,Ceará,3,NÃO,WILLIAN
Bahia,2 x 0,Mirassol,3,NÃO,WILLIAN
Fortaleza,2 x 0,Internacional,3,NÃO,WILLIAN
Grêmio,1 x 0,Flamengo,3,SIM,WILLIAN
Santos,1 x 0,Atlético-MG,4,SIM,WILLIAN
Botafogo,2 x 0,São Paulo,4,NÃO,WILLIAN
Corinthians,0 x 1,Fluminense,4,NÃO,WILLIAN
Flamengo,2 x 0,Juventude,4,NÃO,WILLIAN
Mirassol,1 x 0,Grêmio,4,NÃO,WILLIAN
Cruzeiro,2 x 0,Bahia,4,NÃO,WILLIAN
Sport,1 x 0,Bragantino,4,NÃO,WILLIAN
Vitória,2 x 0,Fortaleza,4,NÃO,WILLIAN
Ceará,2 x 0,Vasco,4,NÃO,WILLIAN
Internacional,1 x 0,Palmeiras,4,SIM,WILLIAN
Vasco,0 x 1,Flamengo,5,SIM,WILLIAN
Fluminense,2 x 0,Vitória,5,NÃO,WILLIAN
Corinthians,2 x 0,Sport,5,NÃO,WILLIAN
São Paulo,1 x 0,Santos,5,NÃO,WILLIAN
Bragantino,1 x 0,Cruzeiro,5,NÃO,WILLIAN
Atlético-MG,2 x 0,Botafogo,5,NÃO,WILLIAN
Juventude,2 x 0,Mirassol,5,NÃO,WILLIAN
Bahia,2 x 0,Ceará,5,NÃO,WILLIAN
Fortaleza,1 x 0,Palmeiras,5,NÃO,WILLIAN
Grêmio,1 x 0,Internacional,5,SIM,WILLIAN
Flamengo,1 x 0,Corinthians,6,SIM,WILLIAN
Sport,2 x 0,Fortaleza,6,NÃO,WILLIAN
Palmeiras,2 x 0,Bahia,6,NÃO,WILLIAN
Santos,1 x 0,Bragantino,6,NÃO,WILLIAN
Mirassol,0 x 2,Atlético-MG,6,NÃO,WILLIAN
